Name code designator;Visible;Latitude;LatitudeDecimal;Longitud;LongitudeDecimal;FRA relevance;Remark/Usage
ABALA;Y;663929,5;66,65819444;230000;23;;
ABAMA;Y;575911,9;57,98663889;153410,6;15,56961111;(D);ESSA, ESSB
ABAXI;Y;664706;66,785;155233;15,87583333;(X);
ABENI;Y;591416,3;59,23786111;170519,6;17,08877778;;
ADVIS;Y;552305;55,38472222;130023;13,00638889;;
AGMOL;Y;644313,2;64,72033333;150554,2;15,09838889;;
ALAMI;Y;590252;59,04777778;205457;20,91583333;(X);
ALOLA;Y;591536,3;59,26008333;183706,4;18,61844444;;
AMPAD;Y;641856;64,31555556;195004;19,83444444;;
AMROR;Y;545324;54,89;150550;15,09722222;(EX);
AMSUR;Y;560602;56,10055556;123350;12,56388889;;
APTUG;Y;591935,6;59,32655556;190820,2;19,13894444;;
ARGIB;Y;595053;59,84805556;164441;16,74472222;;
ARMOD;Y;573002,6;57,50072222;172046,1;17,34613889;(AD);ESSA, ESSB
ARPIV;Y;613914;61,65388889;130957;13,16583333;;
ARTAB;Y;610000;61;182517;18,42138889;;
ASKEB;Y;662422,3;66,40619444;231657,6;23,28266667;;
ASTOS;Y;560713,7;56,12047222;125740,5;12,96125;;
ATLEM;Y;643641,9;64,61163889;144040,4;14,67788889;;
ATRIB;Y;562524;56,42333333;123048;12,51333333;;
BABAP;Y;592520,2;59,42227778;184227,5;18,70763889;(D);ESSA
BABSI;Y;555548,4;55,93011111;131158,1;13,19947222;;
BAGLO;Y;572517,2;57,42144444;181027,9;18,17441667;;
BAKIL;Y;625820;62,97222222;175612,4;17,93677778;;
BAKLA;Y;612145;61,3625;192457;19,41583333;(EX);
BAKLI;Y;545500;54,91666667;133338,8;13,56077778;(EA);(A) EKCH, EKRK, ESMS
BALEX;Y;644547,8;64,76327778;203915,5;20,65430556;;
BALOT;Y;650634;65,10944444;171652,7;17,28130556;;
BALOX;Y;550207,9;55,03552778;132537,1;13,42697222;;
BALVI;Y;594445;59,74583333;173525;17,59027778;;
BAMAX;Y;575724,1;57,95669444;141127,6;14,191;;
BAMIP;Y;655646,6;65,94627778;154141,7;15,69491667;;
BASTI;Y;652740;65,46111111;224237,4;22,71038889;;
BEDLA;Y;593744,2;59,62894444;161330,1;16,22502778;;
BEDOS;Y;572135,3;57,35980556;150750,3;15,13063889;(AD);(A): ESCF, ESKN, ESSL, ESSP
BELRO;Y;584529,3;58,75813889;162601;16,43361111;;
BENGI;Y;574920,3;57,82230556;144822,5;14,80625;;
BENKA;Y;631837,7;63,31047222;152432,6;15,40905556;;
BESLA;Y;655127,1;65,85752778;221836,9;22,31025;;
BEXAM;Y;565037,9;56,84386111;160805,9;16,13497222;;
BEXUL;Y;653534;65,59277778;240914;24,15388889;(EX);
BIKRU;Y;545500;54,91666667;141000;14,16666667;(EXD);(D) EKCH, EKRK
BODRI;Y;622454;62,415;194927;19,82416667;(EX);
BOLPA;Y;653804,8;65,63466667;213021,1;21,50586111;;
BOMGU;Y;585424;58,90666667;104307;10,71861111;(EX);
BUGAX;Y;610000;61;125357;12,89916667;;
DEDIT;Y;631529,7;63,25825;202702,2;20,45061111;;
DEGAL;Y;603819,8;60,63883333;175724;17,95666667;(A);ESSA, ESSB
DEGAV;Y;574341;57,72805556;122024,8;12,34022222;;
DEGED;Y;620601;62,10027778;164844;16,81222222;;
DEKIK;Y;564552;56,76444444;141827,9;14,30775;;
DEMUS;Y;572713,3;57,45369444;182145,4;18,36261111;;
DEPEX;Y;591131;59,19194444;150120,9;15,02247222;;
DEREX;Y;574022;57,67277778;201239;20,21083333;(EX);
DETMO;Y;621347,1;62,22975;165827,4;16,97427778;;
DETNA;Y;573515,4;57,58761111;110408,6;11,06905556;(D);ESGG, ESGP
DETNI;Y;545500;54,91666667;142039;14,34416667;(E);
DETSO;Y;583600;58,6;141551,7;14,26436111;(AD);(A): ESCF, ESKN, ESSA, ESSB,
DETUS;Y;550122,1;55,02280556;125958,8;12,99966667;;
DEVNI;Y;571259,8;57,21661111;135536,4;13,92677778;;
DEXOP;Y;665626;66,94055556;191619;19,27194444;;
DIBVA;Y;623752;62,63111111;142655;14,44861111;;
DIGLI;Y;590657,9;59,11608333;171822,2;17,30616667;;
DIGLO;Y;625209,6;62,86933333;142514,2;14,42061111;;
DIGOX;Y;590656;59,11555556;193610;19,60277778;(D);ESSB
DIKVI;Y;611744;61,29555556;142147;14,36305556;;
DIRAV;Y;634922,5;63,82291667;133906,8;13,65188889;;
DISGO;Y;550905,7;55,15158333;124400,8;12,73355556;(D);ESMS
DISRU;Y;583550;58,59722222;174401;17,73361111;;
DITVA;Y;561409,1;56,23586111;131150,3;13,19730556;;
DIXOT;Y;562940,3;56,49452778;161758,9;16,29969444;;
DODAM;Y;600240;60,04444444;191806;19,30166667;(X);
DOPUD;Y;680829;68,14138889;231918;23,32166667;(EX);
EBIXI;Y;570649,4;57,11372222;144823,8;14,80661111;;
EBURI;Y;594800;59,8;143938;14,66055556;(A);ENGM, ENRY, ENTO
EDAXA;Y;624654;62,78166667;193755,7;19,63213889;;
EGAGO;Y;614033;61,67583333;121300;12,21666667;(EX);
EKLOV;Y;562631,6;56,44211111;151849;15,31361111;;
EKMIK;Y;651506;65,25166667;234339;23,7275;(EX);
EKNAG;Y;635047;63,84638889;183927;18,6575;;Re-routing point
ELBOG;Y;650945,6;65,16266667;213053,4;21,51483333;;
ELBUX;Y;573319;57,55527778;115837;11,97694444;;
ELKOM;Y;573403,5;57,56763889;184651,4;18,78094444;;
ELPAX;Y;580543,7;58,09547222;151624,1;15,27336111;(D);ESSA, ESSB
ELRID;Y;593409;59,56916667;182718;18,455;;
ELTOK;Y;594928;59,82444444;165923,7;16,98991667;(A);ESSA
ELVAV;Y;575758;57,96611111;105735;10,95972222;;Re-routing point
ELVIX;Y;552442,7;55,41186111;140539,2;14,09422222;(AD);(A): EKCH, EKRK
EMKAS;Y;563819;56,63861111;160849;16,14694444;;
EMLET;Y;674500;67,75;214154;21,69833333;;
ENOVI;Y;643612,3;64,60341667;203255;20,54861111;;
ENOXI;Y;665432;66,90888889;213933;21,65916667;;
ESEBA;Y;600046;60,01277778;122332;12,39222222;(X);
ETIPU;Y;640802;64,13388889;170122;17,02277778;;Re-routing point
ETOMI;Y;614257;61,71583333;152159;15,36638889;;
ETPIG;Y;561115;56,1875;141254;14,215;(D);ESMS
ETRUS;Y;552824,4;55,47344444;153805,4;15,63483333;(D);EKCH, EKRK
EVBAS;Y;560844;56,14555556;122840;12,47777778;;
EVLAN;Y;601508;60,25222222;190643;19,11194444;(EX);
EVONA;Y;570954;57,165;195529;19,92472222;(EX);
EXENA;Y;560708;56,11888889;130859,1;13,14975;;
GADDE;Y;633518,4;63,58844444;204109,8;20,68605556;;
GALNU;Y;585915,6;58,98766667;172942,6;17,49516667;;
GAMVI;Y;563430;56,575;133357,7;13,56602778;;
GATVI;Y;643834,6;64,64294444;213656,3;21,61563889;;
GELDA;Y;565217;56,87138889;193400;19,56666667;(EX);
GELMA;Y;570222,6;57,03961111;141213,2;14,20366667;(A);ESMK
GETPA;Y;590209;59,03583333;115532;11,92555556;;
GEVRU;Y;604434;60,74277778;141947,4;14,32983333;;
GIKAV;Y;640203,5;64,03430556;134737,9;13,79386111;(EX);
GILEN;Y;680139;68,0275;170604;17,10111111;(EX);
GIMLO;Y;584225,2;58,707;155036,8;15,84355556;;
GIROR;Y;550336;55,06;142424;14,40666667;;
GISON;Y;555554;55,93166667;174206;17,70166667;(EX);
GIXUN;Y;572516,2;57,42116667;115208,6;11,86905556;;
GOKEN;Y;560952,4;56,16455556;130417,6;13,07155556;;
GOKEP;Y;614509;61,7525;142330;14,39166667;;
GOLAV;Y;573330,1;57,55836111;135652;13,94777778;;
GOPNI;Y;562827,9;56,47441667;162919,3;16,48869444;;
GORAX;Y;554822;55,80611111;130226;13,04055556;;
GORPI;Y;545500;54,91666667;153918;15,655;(EX);
GOSOT;Y;544820,3;54,80563889;145128,1;14,85780556;(EX);
GOTAL;Y;581438;58,24388889;182743;18,46194444;;
GURLI;Y;582528;58,42444444;103358;10,56611111;;Re-routing point
HANSA;Y;575448,8;57,91355556;174847,9;17,81330556;;
IBGAX;Y;594320;59,72222222;152345;15,39583333;(D);ESSA, ESSB
IBIXA;Y;651226,9;65,20747222;172245,7;17,37936111;;
IBREK;Y;562330;56,39166667;121356;12,23222222;;
IDEXO;Y;562211,2;56,36977778;125806,6;12,9685;;
IDPAL;Y;562738;56,46055556;141841;14,31138889;(D);EKCH, EKRK
INDAK;Y;643256,5;64,54902778;214015,3;21,67091667;;
INGIS;Y;583640,2;58,61116667;172755,4;17,46538889;;
INRER;Y;560309,7;56,05269444;124849,2;12,81366667;;
INVOL;Y;573916;57,65444444;111317;11,22138889;;
IPKAL;Y;580750,9;58,13080556;132709,6;13,45266667;(D);ENGM, ENRY, ENTO
IRGAL;Y;624950;62,83055556;200039;20,01083333;(EX);
IXOLA;Y;574612,1;57,77002778;142758,1;14,46613889;;
KEKOV;Y;545657,7;54,94936111;142628,2;14,44116667;;
KELAS;Y;602807;60,46861111;191033;19,17583333;(EA);(A) ESSA, ESSB
KELIN;Y;581436,9;58,24358333;120315;12,05416667;(D);ENGM, ENRY, ENTO
KEMAX;Y;560735,2;56,12644444;132713,8;13,45383333;;
KETEL;Y;641156,8;64,19911111;211150;21,19722222;;
KINTI;Y;572659,1;57,44975;175313;17,88694444;;
KOGAV;Y;600452;60,08111111;171346,6;17,22961111;(D);ESSA
KOKAK;Y;552929;55,49138889;124254;12,715;;
KOLJA;Y;560000;56;164852,8;16,81466667;;
KOLOB;Y;544923;54,82305556;145639,1;14,94419444;(EX);
KOPIM;Y;560802;56,13388889;122954;12,49833333;;
KORET;Y;584839;58,81083333;115405;11,90138889;;
KOSKA;Y;591058;59,18277778;204034;20,67611111;(E);
KOSOT;Y;574944,5;57,82902778;113707,3;11,61869444;;
KOTAM;Y;560757,9;56,13275;145012;14,83666667;(AD);EKCH, EKRK, ESMS, ESTL
KOVUX;Y;571047,9;57,17997222;123036,4;12,51011111;;
KOXIM;Y;582401;58,40027778;154408;15,73555556;;
KULUD;Y;561538;56,26055556;121959;12,33305556;(AD);(A): ESMS
LABAN;Y;581009,8;58,16938889;131739,5;13,29430556;;
LAGIS;Y;563317,8;56,55494444;155613,2;15,937;;
LALIL;Y;574624,5;57,77347222;121037,9;12,17719444;;
LAMOS;Y;654817;65,80472222;215653,3;21,94813889;;
LAMPI;Y;633219;63,53861111;210212;21,03666667;(EX);
LAPIX;Y;635420,8;63,90577778;202843,5;20,47875;;
LAPLA;Y;680202,6;68,03405556;201001,6;20,16711111;;
LAPSI;Y;585513,9;58,92052778;141819,7;14,30547222;(D);ESSA, ESSB
LARMA;Y;551628;55,27444444;163006;16,50166667;(EX);
LASLI;Y;565542,1;56,92836111;120042,1;12,01169444;(D);EKCH, EKRK, ESMS, ESTL
LATKU;Y;583326;58,55722222;115813;11,97027778;(AD);(A): ESGG, ESGP
LATVI;Y;565301;56,88361111;163608,4;16,60233333;;
LEBDA;Y;552225;55,37361111;123743;12,62861111;;
LEGPO;Y;600246;60,04611111;142618;14,43833333;(D);ENGM, ENRY, ENTO
LENSO;Y;631539,2;63,26088889;195908;19,98555556;;
LIBSI;Y;584352,6;58,73127778;161458,6;16,24961111;;
LIDNA;Y;661952;66,33111111;152739;15,46083333;(E);
LILBI;Y;551511;55,25305556;124058;12,68277778;;
LINSA;Y;594328,3;59,72452778;172442,1;17,41169444;;
LIVLI;Y;671543;67,26194444;164848;16,81333333;;
LOBBI;Y;571905;57,31805556;112953;11,49805556;;
LUKAX;Y;574248,9;57,71358333;130854,2;13,14838889;(D);ESGG, ESGP
LUKIG;Y;635855;63,98194444;181039;18,1775;;
LUMAX;Y;601903,8;60,31772222;180030,8;18,00855556;;
LUPET;Y;593825;59,64027778;195235;19,87638889;(EA);(A) ESSA, ESSB
LURAR;Y;581905,6;58,31822222;145703,7;14,95102778;(A);ESCF, ESKN, ESSL, ESSP
LUSID;Y;545500;54,91666667;151746;15,29611111;(EX);
LUVIX;Y;643348,2;64,56338889;213335,9;21,55997222;;
MADDE;Y;563505,4;56,58483333;155304,1;15,88447222;;
MAGON;Y;664407;66,73527778;235332;23,89222222;(EX);
MAKUR;Y;572547;57,42972222;112425;11,40694444;;
MALIV;Y;550945,8;55,16272222;130212,7;13,03686111;(D);ESTL
MASEV;Y;601040;60,17777778;123205;12,53472222;(ED);(D) ENGM, ENRY, ENTO
MATEK;Y;550059;55,01638889;124803;12,80083333;(A);Re-routing point
MAVIP;Y;625623,7;62,93991667;130455,5;13,08208333;;
MAXIV;Y;575717,2;57,95477778;121015,7;12,17102778;;
MAXUM;Y;553940,5;55,66125;133614,4;13,604;(A);ESTL
MENGA;Y;592551,4;59,43094444;183640,5;18,61125;;
MIKNA;Y;575425,3;57,90702778;155519,1;15,92197222;(A);ESSA, ESSB
MILNU;Y;595837;59,97694444;151801;15,30027778;;
MIMKI;Y;665609;66,93583333;160526;16,09055556;(EX);
MISBI;Y;555355;55,89861111;124021;12,6725;;
MISMA;Y;563828,5;56,64125;131210,1;13,20280556;;
MISMO;Y;661029;66,17472222;234910;23,81944444;(EX);
MISVI;Y;574930;57,825;124136,8;12,69355556;;
MOGLU;Y;590730;59,125;114609;11,76916667;(EX);
MOKMO;Y;642901,8;64,48383333;213016,7;21,50463889;;
MOKNI;Y;573846,7;57,64630556;150405;15,06805556;;
MOLUD;Y;562040;56,34444444;121607;12,26861111;;
MOSAT;Y;550231;55,04194444;124717;12,78805556;(A);ESTL
MOSIN;Y;553310;55,55277778;124753;12,79805556;;
MOTIG;Y;635548;63,93;191604;19,26777778;;
MOVIS;Y;571309,7;57,21936111;162050,1;16,34725;;
MOXAM;Y;583152,9;58,53136111;131850,1;13,31391667;(A);ESGG, ESGP
NAREX;Y;652013,9;65,33719444;223435,7;22,57658333;;
NATVI;Y;593804,5;59,63458333;133103,4;13,51761111;;
NEBET;Y;670205;67,03472222;234301;23,71694444;(E);
NEBSI;Y;585417,9;58,90497222;205628,5;20,94125;(EXA);(A) ESSA, ESSB
NEBUR;Y;653328;65,55777778;143030;14,50833333;(EX);
NEGAS;Y;580216,2;58,03783333;145335,2;14,89311111;;
NEGIL;Y;581504,8;58,25133333;123731,2;12,62533333;;
NEKET;Y;581816;58,30444444;203443;20,57861111;(EX);
NEKLA;Y;590000;59;191549,1;19,26363889;(AD);(A):ESSB
NEMBA;Y;570931,4;57,15872222;142213,7;14,37047222;(AD);(A): ESMS
NEPVA;Y;585544;58,92888889;183359;18,56638889;(D);ESSA, ESSB
NEREN;Y;583739,8;58,62772222;204618,4;20,77177778;(EX);
NETAV;Y;635946,6;63,99627778;141436,6;14,2435;;
NEXIL;Y;562020,9;56,33913889;134359,2;13,73311111;(A);ESTL
NIBNO;Y;594424;59,74;122132;12,35888889;(AD);(A): ENRY, ENTO
NIKEG;Y;584128;58,69111111;181815;18,30416667;;
NILEN;Y;564344,3;56,72897222;131918,6;13,32183333;(A);ESGG, ESGP
NILUG;Y;584857;58,81583333;175305;17,88472222;;
NINTA;Y;561343,6;56,22877778;181708,3;18,28563889;(EX);
NISIX;Y;591907;59,31861111;202554;20,43166667;(EXD);(D) ESSA, ESSB
NISLO;Y;552857;55,4825;125305;12,88472222;;
NITMU;Y;643258;64,54944444;174559;17,76638889;;
NOGBO;Y;642745,3;64,46258333;140650;14,11388889;(EX);
NONKI;Y;632616,1;63,43780556;144450,5;14,74736111;;
NORVI;Y;554446,8;55,74633333;131958,3;13,33286111;;
NOSLI;Y;590422;59,07277778;171529,2;17,25811111;;
NOVRI;Y;683242;68,545;203944;20,66222222;;
NUGTA;Y;642902;64,48388889;144849;14,81361111;;
ODARU;Y;550545;55,09583333;124541;12,76138889;(A);ESTL
ODIBI;Y;585707;58,95194444;185232;18,87555556;(D);ESSA, ESSB
OGIRO;Y;584614;58,77055556;130740;13,12777778;(AD);ESGG, ESGP
OGLAV;Y;684959;68,83305556;211022;21,17277778;(EX);
OGLOB;Y;595559;59,93305556;192744;19,46222222;(E);
OGRIN;Y;674357,5;67,73263889;191809,2;19,30255556;;
OKAGA;Y;545500;54,91666667;134549;13,76361111;(E);
OKAKI;Y;593835;59,64305556;114651;11,78083333;;
OKLEV;Y;615817,6;61,97155556;173618;17,605;;
OKSAT;Y;591946;59,32944444;115726;11,95722222;(A);ENRY, ENTO
OLANU;Y;572808,3;57,46897222;174306,9;17,71858333;;
OLGUV;Y;622603;62,43416667;121053;12,18138889;(EX);
OSKIR;Y;654015;65,67083333;193656;19,61555556;;
OSKOK;Y;621911;62,31972222;121544;12,26222222;(EX);
OSLAV;Y;624334,9;62,72636111;151059,9;15,18330556;;
OSNAK;Y;572326,3;57,39063889;125046,4;12,84622222;;
OSTAX;Y;660307;66,05194444;164853;16,81472222;;
OTVEB;Y;562930;56,49166667;141610;14,26944444;(D);EKCH, EKRK
OVDAL;Y;622342,6;62,39516667;131205,3;13,20147222;;
OXOTI;Y;624508;62,75222222;133124;13,52333333;;
PELAB;Y;562504,9;56,41802778;123813,6;12,63711111;;
PELIT;Y;591201,5;59,20041667;154116,1;15,68780556;;
PELOX;Y;570416,8;57,07133333;132804,8;13,468;(A);ESMT
PELUP;Y;581643,8;58,27883333;162840,5;16,47791667;;
PEMAB;Y;681911;68,31972222;201625;20,27361111;;
PENAX;Y;663810;66,63611111;154034;15,67611111;(EX);
PENOR;Y;553819;55,63861111;170941;17,16138889;(EX);
PERAX;Y;600434;60,07611111;162253;16,38138889;(D);ESSB
PERRY;Y;554636,4;55,77677778;135746,2;13,96283333;;
PEVEL;Y;620047;62,01305556;175148,4;17,86344444;;
POBEL;Y;682952;68,49777778;190555;19,09861111;(EX);Re-routing point
POKAS;Y;595853;59,98138889;192333;19,3925;(E);
POKEN;Y;544910,5;54,81958333;143351,3;14,56425;(EX);
RANAV;Y;571108,5;57,18569444;122003,5;12,33430556;;
RASEL;Y;580140,6;58,02794444;202452,8;20,41466667;(EX);
RASEN;Y;634842,5;63,81180556;190551,2;19,09755556;;
RASMU;Y;564530,2;56,75838889;134855;13,81527778;(AD);(A): ESMS
REGMA;Y;590632;59,10888889;112058;11,34944444;(X);
REKMI;Y;651058,7;65,18297222;192821,2;19,47255556;;
REKMO;Y;555922;55,98944444;124724;12,79;;
REMBO;Y;584902,6;58,81738889;172234,1;17,37613889;;
REMSA;Y;572848,6;57,48016667;173519,9;17,58886111;;Re-routing point
REPKU;Y;584821;58,80583333;103629;10,60805556;(EXD);(D) ESGG, ESGP
RESNA;Y;602201;60,36694444;180129,4;18,02483333;(D);ESSA, ESSB
RIKUM;Y;595815;59,97083333;192429;19,40805556;(DX);(D) ESSA, ESSB
RISEM;Y;651308,6;65,21905556;211431,6;21,24211111;;
RISMA;Y;570231;57,04194444;115845;11,97916667;(A);ESGG, ESGP
RIXAN;Y;664430;66,74166667;195657,8;19,94938889;;
RIXEM;Y;684728;68,79111111;201929;20,32472222;(EX);
ROGED;Y;603046;60,51277778;123624;12,60666667;(EX);
ROGMI;Y;581137,6;58,19377778;180006,3;18,00175;(AD);(A): ESSA, ESSB
ROKNI;Y;593503,9;59,58441667;164455,2;16,74866667;;
ROPAK;Y;654450,6;65,74738889;213949,3;21,66369444;;
ROSMO;Y;634158,6;63,69961111;204739,2;20,79422222;;
ROVPA;Y;604401,6;60,73377778;122343,8;12,3955;(EX);
ROXEN;Y;563352,3;56,56452778;140200,2;14,03338889;(D);EKCH, EKRK, ESMS, ESTL
ROXUB;Y;551547;55,26305556;140448;14,08;;
RUMAR;Y;550200,7;55,03352778;160415,2;16,07088889;(EX);
RUNGA;Y;594459;59,74972222;194327;19,72416667;(EA);(A) ESSA, ESSB
SABAK;Y;581035,6;58,17655556;113833,8;11,64272222;(AD);ENGM, ENRY, ENTO
SALLO;Y;545500;54,91666667;132310,3;13,38619444;(EXD);(D) EKCH, EKRK, ESMS, ESTL
SIMEG;Y;551500,1;55,25002778;133004,3;13,50119444;;
SIPRI;Y;605044,2;60,84561111;184506,2;18,75172222;(A);ESSA, ESSB
SIPSI;Y;585526,5;58,92402778;125728;12,95777778;;
SOLKA;Y;631951;63,33083333;120309;12,0525;(EX);
SONIN;Y;655855;65,98194444;214822;21,80611111;;
SONIX;Y;584549;58,76361111;142649,5;14,44708333;;
SONPA;Y;572754,2;57,46505556;145851,1;14,98086111;;
SOPAK;Y;573047,7;57,51325;180427,5;18,07430556;;
SOPLI;Y;641403,5;64,23430556;204425,8;20,7405;;
SOROM;Y;551929,3;55,32480556;132510;13,41944444;;
SOVAS;Y;591516,5;59,25458333;130932,9;13,15913889;;
SOVAX;Y;591541;59,26138889;172902,7;17,48408333;;
SOVEV;Y;671248;67,21333333;222116;22,35444444;;
SULAX;Y;563159,9;56,53330556;162557,9;16,43275;;
SULIX;Y;581205,4;58,2015;123746,7;12,62963889;;
SUTEV;Y;643314;64,55388889;224416;22,73777778;(EX);
SUVAR;Y;610905;61,15138889;124310;12,71944444;(EX);
SUXEM;Y;560532,8;56,09244444;151303,3;15,21758333;;
TABUT;Y;593109;59,51916667;155501,5;15,91708333;;
TAKOV;Y;573822,5;57,63958333;111547,3;11,26313889;;
TALEK;Y;600254,7;60,04852778;171818,5;17,30513889;;
TEKVA;Y;595905;59,98472222;124310;12,71944444;;
TELMO;Y;550316,6;55,05461111;140658,6;14,11627778;(D);EKCH, EKRK, ESMS
TEMLI;Y;564041,5;56,67819444;152301,7;15,38380556;;
TERPA;Y;672150,3;67,36397222;204151,6;20,69766667;;
TESDI;Y;594313,5;59,72041667;141450,4;14,24733333;;
TESPO;Y;562016;56,33777778;171343;17,22861111;;
TESVI;Y;563419;56,57194444;163357,9;16,56608333;;
TEVKO;Y;651118,6;65,1885;173743,1;17,62863889;;
TIGBA;Y;625614;62,93722222;120731;12,12527778;(X);
TILSA;Y;564618,1;56,77169444;155218,6;15,87183333;;
TIMEX;Y;564526,3;56,75730556;143919,7;14,65547222;;
TINDO;Y;633726,2;63,62394444;191849,5;19,31375;;
TINKA;Y;591218,7;59,20519444;161747;16,29638889;;
TIPEL;Y;671543;67,26194444;161948;16,33;(E);
TIPIX;Y;585416,9;58,90469444;163127,1;16,52419444;;
TISAB;Y;580844,4;58,14566667;114300,5;11,71680556;;
TIXOR;Y;652013;65,33694444;151301;15,21694444;;
TOGMI;Y;614543;61,76194444;193225;19,54027778;(EX);
TOKSI;Y;570920,1;57,15558333;135439,7;13,91102778;(AD);(A): EKCH, EKRK, ESMT, ESTA
TOMBA;Y;651735,4;65,29316667;221608,6;22,26905556;;
TOMBU;Y;591346;59,22944444;193404,2;19,56783333;(AD);ESSA
TOMVI;Y;573334,5;57,55958333;115048,6;11,84683333;;
TONSA;Y;583632,9;58,60913889;163112,9;16,52025;;
TOPLA;Y;570809,1;57,13586111;122020,2;12,33894444;(AD);(A): EKCH, EKRK, ESMS
TORVA;Y;592444,8;59,41244444;161243,1;16,21197222;;
TUDGI;Y;640849;64,14694444;184044;18,67888889;;
TUMGU;Y;595328;59,89111111;120112;12,02;(E);
TURAS;Y;644014,4;64,67066667;203510;20,58611111;;
TUSNI;Y;591946;59,32944444;164903;16,8175;;Re-routing point
TUVIX;Y;572900,8;57,48355556;181306,9;18,21858333;;
TUVLU;Y;674126;67,69055556;232943;23,49527778;(EX);
ULGOT;Y;644143,9;64,69552778;203001,6;20,50044444;;
ULTEX;Y;630000,1;63,00002778;152610,3;15,43619444;;
UMIXA;Y;570924;57,15666667;134302;13,71722222;(D);ESCF, ESKN, ESSL, ESSP
UMLAX;Y;610000;61;170410,9;17,06969444;;
UMSAK;Y;612528;61,42444444;142301;14,38361111;;
UMSOM;Y;631955,4;63,33205556;200220,8;20,03911111;;
UMTON;Y;583242;58,545;142020;14,33888889;(AD);(A): ESSB
UNGAV;Y;545500;54,91666667;135941;13,99472222;(X);
UNKAS;Y;645309;64,88583333;201909,9;20,31941667;;
UPEVA;Y;663714;66,62055556;173644;17,61222222;;
UPLAX;Y;560634,8;56,10966667;125735,4;12,95983333;;
USIKI;Y;661527;66,2575;152342;15,395;(EX);
VADIN;Y;570816;57,13777778;113838;11,64388889;(D);ESGG, ESGP
VAGAS;Y;672057,2;67,34922222;200907,7;20,15213889;;
VAKTA;Y;565432,3;56,90897222;132425,4;13,40705556;;
VALAK;Y;632507;63,41861111;203427;20,57416667;(EX);
VATEX;Y;591903;59,3175;114914;11,82055556;(EX);
VEDAR;Y;563154;56,53166667;120725;12,12361111;(AD);(A): ESGG, ESGP
VEDEN;Y;563154;56,53166667;185236;18,87666667;(EX);
VEMAS;Y;574811,7;57,80325;121217,7;12,20491667;;
VENDA;Y;643214,5;64,53736111;210104;21,01777778;;
VEPAX;Y;574934,9;57,82636111;182750;18,46388889;;
VERAG;Y;650731,9;65,12552778;215913,5;21,98708333;;
VESER;Y;651120;65,18888889;154047;15,67972222;;
VIBAR;Y;573441,3;57,57813889;162326,3;16,39063889;(AD);(A): ESSA, ESSB
XELVI;Y;612959,1;61,49975;124004,5;12,66791667;(EX);
XENTA;Y;584129,2;58,69144444;112857,8;11,48272222;(AD);(A): ENGM, ENRY, ENTO
XIDMI;Y;594304;59,71777778;115612;11,93666667;(EX);
XILAN;Y;593933,5;59,65930556;190433,8;19,07605556;;
XONTU;Y;655626;65,94055556;240436;24,07666667;(E);
